episode,reward,steps,td_error,epsilon,success,invalid_actions,wrapper_penalty,wrapper_bonus,blocked_actions,transformed_actions,risky_action_ratio,useful_actions_ratio
54,-1164.0,200,5.229274023869791,0.973354669167264,0,64,388.0,0.0,6,6,0.35,0.97
55,-921.0,200,3.51687152164537,0.9728679918326804,0,46,307.0,0.0,9,9,0.29,0.955
56,-1042.5,200,3.729507505426459,0.972381557836764,0,55,347.5,0.0,6,6,0.305,0.97
57,-988.5,200,3.9150438685363054,0.9718953670578457,0,51,329.5,0.0,10,10,0.305,0.95
58,-1069.5,200,4.621813453334742,0.9714094193743169,0,57,356.5,0.0,10,10,0.345,0.95
59,-1042.5,200,3.799763297588187,0.9709237146646298,0,55,347.5,0.0,11,11,0.335,0.945
60,-1110.0,200,3.1437595653712473,0.9704382528072976,0,60,370.0,0.0,9,9,0.345,0.955
61,-1015.5,200,3.4831915111223286,0.9699530336808939,0,53,338.5,0.0,11,11,0.33,0.945
62,-988.5,200,3.3404075861764992,0.9694680571640535,0,51,329.5,0.0,11,11,0.31,0.945
63,-1069.5,200,4.399588412886897,0.9689833231354715,0,57,356.5,0.0,4,4,0.32,0.98
64,-1015.5,200,3.1054932714034713,0.9684988314739038,0,53,338.5,0.0,8,8,0.305,0.96
65,-1123.5,200,4.015817834204729,0.9680145820581669,0,61,374.5,0.0,8,8,0.35,0.96
66,-1042.5,200,3.214904996271492,0.9675305747671379,0,55,347.5,0.0,8,8,0.315,0.96
67,-1123.5,200,3.2177248120688997,0.9670468094797544,0,61,374.5,0.0,10,10,0.355,0.95
68,-826.5,200,3.460876312158783,0.9665632860750146,0,39,275.5,0.0,7,7,0.25,0.965
69,-1056.0,200,3.0216170353371963,0.9660800044319772,0,56,352.0,0.0,7,7,0.315,0.965
70,-1096.5,200,3.5480159795863346,0.9655969644297613,0,59,365.5,0.0,7,7,0.33,0.965
71,-1083.0,200,3.4443439189728275,0.9651141659475465,0,58,361.0,0.0,5,5,0.315,0.975
72,-934.5,200,3.4438309872731607,0.9646316088645728,0,47,311.5,0.0,7,7,0.27,0.965
73,-1002.0,200,4.282594995040696,0.9641492930601405,0,52,334.0,0.0,9,9,0.31,0.955
74,-1002.0,200,3.6980336561957166,0.9636672184136105,0,52,334.0,0.0,9,9,0.305,0.955
75,-1083.0,200,3.778297032037656,0.9631853848044037,0,58,361.0,0.0,14,14,0.36,0.93
76,-975.0,200,2.697681055972162,0.9627037921120016,0,50,325.0,0.0,10,10,0.31,0.95
77,-1042.5,200,4.489847752624773,0.9622224402159457,0,55,347.5,0.0,9,9,0.325,0.955
78,-1029.0,200,3.2193529850094675,0.9617413289958378,0,54,343.0,0.0,16,16,0.38,0.92
79,-961.5,200,3.19821441432201,0.9612604583313399,0,49,320.5,0.0,7,7,0.28,0.965
80,-1029.0,200,3.1625318737502495,0.9607798281021742,0,54,343.0,0.0,8,8,0.31,0.96
81,-1029.0,200,3.4404031206010224,0.9602994381881231,0,54,343.0,0.0,9,9,0.325,0.955
82,-975.0,200,3.0084867791085745,0.9598192884690291,0,50,325.0,0.0,3,3,0.295,0.985
83,-1083.0,200,3.1061358217868813,0.9593393788247946,0,58,361.0,0.0,10,10,0.34,0.95
84,-799.5,200,2.83080212139502,0.9588597091353822,0,37,266.5,0.0,6,6,0.235,0.97
85,-988.5,200,3.044132296509753,0.9583802792808146,0,51,329.5,0.0,8,8,0.295,0.96
86,-1096.5,200,3.7269479099324307,0.9579010891411742,0,59,365.5,0.0,7,7,0.34,0.965
87,-1083.0,200,2.867571792872372,0.9574221385966036,0,58,361.0,0.0,8,8,0.33,0.96
88,-1015.5,200,3.2954187267265933,0.9569434275273054,0,53,338.5,0.0,7,7,0.33,0.965
89,-1029.0,200,3.2255934419391634,0.9564649558135419,0,54,343.0,0.0,11,11,0.325,0.945
90,-1002.0,200,2.7627797011062505,0.9559867233356352,0,52,334.0,0.0,6,6,0.29,0.97
91,-934.5,200,3.270125900693218,0.9555087299739674,0,47,311.5,0.0,12,12,0.3,0.94
92,-1029.0,200,3.926170978387836,0.9550309756089804,0,54,343.0,0.0,7,7,0.305,0.965
93,-1069.5,200,3.298621152809131,0.954553460121176,0,57,356.5,0.0,5,5,0.31,0.975
94,-1029.0,200,2.811516192175473,0.9540761833911156,0,54,343.0,0.0,12,12,0.33,0.94
95,-1002.0,200,3.2459167685438843,0.95359914529942,0,52,334.0,0.0,6,6,0.365,0.97
96,-334.5,73,4.087768982308075,0.9531223457267703,1,19,121.5,10.0,4,4,0.3425,0.9452
97,-975.0,200,3.3161139540959454,0.952645784553907,0,50,325.0,0.0,7,7,0.295,0.965
98,-1110.0,200,4.012357871911119,0.9521694616616301,0,60,370.0,0.0,12,12,0.365,0.94
99,-1150.5,200,3.569771755667613,0.9516933769307994,0,63,383.5,0.0,11,11,0.37,0.945
100,-1015.5,200,3.2851220513261734,0.951217530242334,0,53,338.5,0.0,10,10,0.315,0.95
101,-934.5,200,3.3442662358348003,0.9507419214772129,0,47,311.5,0.0,7,7,0.28,0.965
102,-907.5,200,2.978338476070217,0.9502665505164744,0,45,302.5,0.0,7,7,0.28,0.965
103,-1015.5,200,3.2798917255435676,0.9497914172412162,0,53,338.5,0.0,2,2,0.275,0.99
104,-1002.0,200,2.731274721611606,0.9493165215325956,0,52,334.0,0.0,9,9,0.305,0.955
105,-961.5,200,3.3130527243855177,0.9488418632718294,0,49,320.5,0.0,6,6,0.275,0.97
106,-1029.0,200,2.613735161165613,0.9483674423401935,0,54,343.0,0.0,7,7,0.305,0.965
107,-1096.5,200,3.13120075456979,0.9478932586190235,0,59,365.5,0.0,8,8,0.335,0.96
108,-1069.5,200,3.202807316936278,0.9474193119897141,0,57,356.5,0.0,7,7,0.32,0.965
