episode,reward,steps,td_error,epsilon,success,term_reason
1,1.0,4,10.25,0.9999,0,failure
2,51.0,20,4.858356799499999,0.9998000100000001,0,failure
3,-15.0,3,8.166666666666666,0.9997000299990001,0,failure
4,-13.0,2,13.15,0.9996000599960002,0,failure
5,-1.0,9,4.506626333333333,0.9995000999900007,0,failure
6,-15.0,6,4.314568548,0.9994001499800017,0,failure
7,-20.0,1,20.0,0.9993002099650037,0,failure
8,-20.0,2,10.0,0.9992002799440072,0,failure
9,-20.0,1,20.0,0.9991003599160128,0,failure
10,-20.0,1,18.0,0.9990004498800211,0,failure
11,-20.0,1,20.0,0.9989005498350332,0,failure
12,-13.0,2,14.033890381500001,0.9988006597800497,0,failure
13,-20.0,1,18.0,0.9987007797140718,0,failure
14,-20.0,1,22.6206117063,0.9986009096361004,0,failure
15,-20.0,1,16.2,0.9985010495451367,0,failure
16,-20.0,1,16.2,0.9984011994401822,0,failure
17,-20.0,1,20.0,0.9983013593202382,0,failure
18,-20.0,1,18.0,0.9982015291843062,0,failure
19,-20.0,5,4.380342799999999,0.9981017090313877,0,failure
20,-20.0,1,14.58,0.9980018988604846,0,failure
21,-20.0,2,11.9,0.9979020986705985,0,failure
22,-20.0,1,13.122,0.9978023084607315,0,failure
23,-20.0,1,14.58,0.9977025282298854,0,failure
24,-6.0,3,11.654084044776667,0.9976027579770624,0,failure
25,-20.0,1,13.122,0.9975029977012647,0,failure
26,-20.0,1,11.8098,0.9974032474014946,0,failure
27,-20.0,1,21.022695482103,0.9973035070767544,0,failure
28,-20.0,2,10.71,0.9972037767260468,0,failure
29,-20.0,1,18.0,0.9971040563483742,0,failure
30,-6.0,3,12.6,0.9970043459427393,0,failure
31,-6.0,3,11.692510430045767,0.9969046455081451,0,failure
32,-20.0,2,10.348525,0.9968049550435942,0,failure
33,-6.0,3,12.694171575797858,0.9967052745480899,0,failure
34,-20.0,1,11.8098,0.9966056040206351,0,failure
35,15.0,6,9.233544199763536,0.9965059434602331,0,failure
36,-13.0,4,7.47337371125,0.9964062928658871,0,failure
37,-6.0,3,10.928709113265365,0.9963066522366005,0,failure
38,-20.0,1,10.62882,0.9962070215713769,0,failure
39,-13.0,6,4.793257984499999,0.9961074008692198,0,failure
40,-20.0,1,10.62882,0.9960077901291329,0,failure
41,-20.0,1,21.79248539418352,0.9959081893501199,0,failure
42,15.0,8,7.31511182214523,0.995808598531185,0,failure
43,-20.0,2,10.50784510465,0.9957090176713319,0,failure
44,-13.0,2,13.717798517872826,0.9956094467695648,0,failure
45,22.0,14,5.0353631763005,0.9955098858248879,0,failure
46,13.0,13,4.040631874249545,0.9954103348363054,0,failure
47,-13.0,2,13.020517366423338,0.9953107938028217,0,failure
48,-20.0,1,22.43808007936499,0.9952112627234414,0,failure
49,-20.0,1,17.2298,0.9951117415971691,0,failure
50,-20.0,1,9.565938,0.9950122304230093,0,failure
51,-20.0,1,8.609344199999999,0.9949127291999671,0,failure
52,13.0,6,8.690279317438334,0.9948132379270471,0,failure
53,-20.0,1,7.748409779999999,0.9947137566032545,0,failure
54,-20.0,1,9.565938,0.9946142852275941,0,failure
55,-20.0,2,10.6641443894165,0.9945148237990713,0,failure
56,-20.0,1,8.609344199999999,0.9944153723166914,0,failure
57,-20.0,1,7.748409779999999,0.9943159307794598,0,failure
58,-20.0,1,6.973568801999999,0.9942164991863819,0,failure
59,-20.0,2,11.246590000000001,0.9941170775364633,0,failure
60,-13.0,2,14.282294552399254,0.9940176658287097,0,failure
61,22.0,9,7.569405356325556,0.9939182640621268,0,failure
62,-6.0,3,11.03308700060722,0.9938188722357206,0,failure
63,-13.0,2,13.025363950819745,0.993719490348497,0,failure
64,-20.0,2,10.25122995047485,0.9936201183994622,0,failure
65,-20.0,1,6.2762119218,0.9935207563876223,0,failure
66,-20.0,1,6.973568801999999,0.9934214043119836,0,failure
67,-6.0,3,11.308836384816667,0.9933220621715524,0,failure
68,-20.0,3,7.050071303618243,0.9932227299653352,0,failure
69,-13.0,2,13.7437791195025,0.9931234076923388,0,failure
70,-20.0,1,6.2762119218,0.9930240953515695,0,failure
71,-20.0,3,7.0081318089230855,0.9929247929420344,0,failure
72,-20.0,3,8.014620666666668,0.9928255004627402,0,failure
73,-20.0,2,11.8197379,0.992726217912694,0,failure
74,-13.0,2,12.034677555737773,0.9926269452909028,0,failure
75,-20.0,1,16.72447178,0.9925276825963737,0,failure
76,1.0,13,3.3570820929311154,0.9924284298281141,0,failure
77,8.0,5,9.025083920065597,0.9923291869851313,0,failure
78,-20.0,1,5.64859072962,0.9922299540664328,0,failure
79,-20.0,1,5.64859072962,0.9921307310710261,0,failure
80,-20.0,1,5.083731656658001,0.992031517997919,0,failure
81,-20.0,1,23.40052235970481,0.9919323148461192,0,failure
82,-6.0,5,6.831380595418466,0.9918331216146347,0,failure
83,-13.0,7,4.225707686227722,0.9917339383024733,0,failure
