episode,reward,steps,td_error,epsilon
1,-803.0,200,3.5457605566,0.9995
2,-767.0,200,3.4819591149999987,0.9990002500000001
3,-812.0,200,3.674478892330498,0.9985007498750001
4,-902.0,200,3.975605579749999,0.9980014995000627
5,-821.0,200,3.277860182765498,0.9975024987503127
6,-740.0,200,3.4677184499999982,0.9970037475009376
7,-884.0,200,3.860902981904996,0.9965052456271871
8,-812.0,200,3.2359638096641747,0.9960069930043736
9,-848.0,200,3.5985306914372135,0.9955089895078715
10,-794.0,200,3.626612449999996,0.9950112350131176
11,-839.0,200,3.2955918401929365,0.9945137293956111
12,-884.0,200,3.2219199098416804,0.9940164725309134
13,-731.0,200,3.2712074144999987,0.993519464294648
14,-668.0,200,3.0306636369754982,0.9930227045625007
15,-839.0,200,3.6217425790949993,0.9925261932102195
16,-713.0,200,2.5113209175191233,0.9920299301136144
17,-740.0,200,2.883738584677453,0.9915339151485576
18,-704.0,200,2.937325516953955,0.9910381481909833
19,-650.0,200,2.694959539826688,0.990542629116888
20,-668.0,200,2.599530532497218,0.9900473578023296
21,-767.0,200,2.7928981257390135,0.9895523341234285
22,-803.0,200,2.859091454126201,0.9890575579563669
23,-848.0,200,2.9814120848970176,0.9885630291773887
24,-731.0,200,3.3103789099999985,0.9880687476628001
25,-758.0,200,2.2621381307617274,0.9875747132889687
26,-866.0,200,2.4911436322806906,0.9870809259323243
27,-650.0,200,2.4734337842540692,0.9865873854693582
28,-731.0,200,2.1491070089715207,0.9860940917766235
29,-740.0,200,2.579526464719629,0.9856010447307353
30,-803.0,200,3.356807270684998,0.98510824420837
31,-758.0,200,2.1595070359714974,0.9846156900862658
32,-875.0,200,3.1852037186230153,0.9841233822412228
33,-767.0,200,2.7363325095265982,0.9836313205501022
34,-758.0,200,2.4091828894382807,0.9831395048898272
35,-803.0,200,2.430165949864574,0.9826479351373822
36,-740.0,200,3.160828444379998,0.9821566111698136
37,-821.0,200,2.848768566560892,0.9816655328642288
38,-713.0,200,2.731821554810503,0.9811747000977967
39,-803.0,200,2.0468803823500648,0.9806841127477479
40,-821.0,200,3.1368640028705954,0.9801937706913741
41,-776.0,200,2.958564882540866,0.9797036738060285
42,-456.0,162,2.5099169065053513,0.9792138219691255
43,-803.0,200,2.8205982744621547,0.978724215058141
44,-830.0,200,3.55508838024,0.978234852950612
45,-740.0,200,2.4836008507278713,0.9777457355241367
46,-830.0,200,2.8753975946952774,0.9772568626563747
47,-668.0,200,2.1642875671492052,0.9767682342250465
48,-794.0,200,1.9299256591011065,0.976279850107934
49,-821.0,200,2.7158219646023256,0.9757917101828801
50,-794.0,200,3.4725899460904475,0.9753038143277888
51,-803.0,200,2.0971917072222332,0.974816162420625
52,-848.0,200,2.075154422512368,0.9743287543394147
53,-866.0,200,1.972929874553357,0.973841589962245
54,-767.0,200,2.259454153169074,0.973354669167264
55,-902.0,200,2.783303628115487,0.9728679918326804
56,-731.0,200,1.5418364392702344,0.972381557836764
57,-803.0,200,3.267724628789998,0.9718953670578457
58,-785.0,200,2.5301431290283665,0.9714094193743169
59,-749.0,200,2.424769061646881,0.9709237146646298
60,-740.0,200,2.6419554578574065,0.9704382528072976
61,-579.0,168,2.377899304709124,0.9699530336808939
62,-758.0,200,2.3066498240949547,0.9694680571640535
63,-668.0,200,1.968719835959815,0.9689833231354715
64,-767.0,200,2.2718883032504835,0.9684988314739038
65,-839.0,200,3.254429365072703,0.9680145820581669
66,-767.0,200,2.509184482433278,0.9675305747671379
67,-614.0,185,2.74274748081059,0.9670468094797544
68,-731.0,200,1.9985748722446255,0.9665632860750146
69,-794.0,200,1.6503129863295423,0.9660800044319772
70,-767.0,200,2.5013793684480436,0.9655969644297613
71,-677.0,200,2.6125709405891824,0.9651141659475465
72,-731.0,200,2.62341144799405,0.9646316088645728
73,-821.0,200,1.853244160610426,0.9641492930601405
