episode,v1_reward,v2_reward,v3_reward,v1_steps,v2_steps,v3_steps
1,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
2,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
3,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
4,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
5,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
6,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
7,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
8,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
9,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
10,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
11,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
12,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
13,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
14,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
15,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
16,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
17,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
18,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
19,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
20,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
21,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
22,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
23,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
24,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
25,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
26,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
27,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
28,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
29,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
30,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
31,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
32,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
33,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
34,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
35,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
36,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
37,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
38,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
39,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
40,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
41,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
42,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
43,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
44,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
45,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
46,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
47,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
48,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
49,-710.9300000000001,-956.5883333333333,-13.556666666666663,192.4099999999999,190.25666666666655,3.026666666666667
